rating,votes,genres,startYear,runtimeMinutes, 'Adventure', 'Adventure'], 'Animation', 'Animation'], 'Comedy', 'Comedy'], 'Crime', 'Crime'], 'Documentary', 'Documentary'], 'Drama', 'Drama'], 'Family', 'Family'], 'Fantasy', 'Fantasy'], 'Game-Show', 'Game-Show'], 'History', 'History'], 'Horror', 'Horror'], 'Music', 'Music'], 'Musical'], 'Mystery', 'Mystery'], 'Reality-TV', 'Reality-TV'], 'Romance', 'Romance'], 'Sci-Fi', 'Sci-Fi'], 'Short'], 'Sport'], 'Talk-Show'], 'Thriller'], 'War'],['Action',['Action'],['Adventure',['Adventure'],['Animation',['Animation'],['Biography',['Comedy',['Comedy'],['Crime',['Crime'],['Documentary',['Documentary'],['Drama',['Drama'],['Family',['Family'],['Game-Show',['Game-Show'],['History'],['Music',['Music'],['Musical',['Musical'],['Mystery'],['News',['News'],['Reality-TV',['Reality-TV'],['Romance'],['Sport'],['Talk-Show'],['Thriller'],['\\N']
9.0,35000.0,['Comedy'],2021.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.8,83000.0,"['Drama', 'Romance']",2022.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.9,56000.0,"['Crime', 'Drama', 'Mystery']",2018.0,60.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7,72000.0,['Romance'],2025.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.7,23000.0,"['Action', 'Crime', 'Drama']",2016.0,120.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,21000.0,"['Biography', 'Drama', 'History']",2011.0,90.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.3,26000.0,"['Comedy', 'Romance']",2020.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9,28000.0,['Drama'],2024.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.6,42000.0,"['Crime', 'Drama', 'Thriller']",2009.0,90.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,103000.0,"['Adventure', 'Comedy', 'Drama']",2011.0,90.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
